# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1125,0.0394,969.410,0.579,40.812
1.4,0.02,0.0566,0.1104,0.0396,972.393,0.581,40.052
2.7,0.04,0.1108,0.1081,0.0396,974.630,0.582,39.247
4.1,0.06,0.1625,0.1058,0.0397,975.375,0.582,38.401
5.5,0.08,0.2118,0.1033,0.0396,973.884,0.581,37.499
6.9,0.10,0.2588,0.1007,0.0395,970.901,0.579,36.538
8.2,0.12,0.3035,0.0979,0.0393,966.427,0.577,35.546
9.6,0.14,0.3459,0.0950,0.0390,959.716,0.573,34.483
11.0,0.16,0.3861,0.0920,0.0387,950.767,0.567,33.371
12.4,0.18,0.4240,0.0888,0.0382,940.328,0.561,32.214
13.8,0.20,0.4598,0.0854,0.0377,926.905,0.553,30.995
15.1,0.22,0.4932,0.0819,0.0371,911.245,0.544,29.732
16.5,0.24,0.5244,0.0783,0.0364,893.348,0.533,28.406
17.9,0.26,0.5532,0.0745,0.0355,873.215,0.521,27.027
19.2,0.28,0.5794,0.0705,0.0346,850.098,0.508,25.600
20.6,0.30,0.6030,0.0664,0.0335,824.744,0.492,24.105
22.0,0.32,0.6237,0.0622,0.0324,795.662,0.475,22.566
23.4,0.35,0.6412,0.0578,0.0311,765.088,0.457,20.987
24.7,0.37,0.6553,0.0534,0.0298,731.532,0.437,19.368
26.1,0.39,0.6653,0.0488,0.0283,695.738,0.415,17.713
27.5,0.41,0.6707,0.0442,0.0267,656.962,0.392,16.022
28.9,0.43,0.6705,0.0394,0.0251,615.948,0.368,14.305
30.2,0.45,0.6634,0.0346,0.0233,572.698,0.342,12.557
31.6,0.47,0.6477,0.0297,0.0214,526.464,0.314,10.782
33.0,0.49,0.6206,0.0248,0.0195,477.994,0.285,8.994
34.4,0.51,0.5778,0.0198,0.0174,427.286,0.255,7.188
35.7,0.53,0.5127,0.0148,0.0153,375.087,0.224,5.378
37.1,0.55,0.4134,0.0098,0.0130,319.905,0.191,3.567
38.5,0.57,0.2575,0.0049,0.0107,263.978,0.157,1.761
39.9,0.59,-0.0081,-0.0001,0.0083,205.067,0.122,-0.040
