# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1092,0.0386,307.974,0.268,18.723
1.0,0.02,0.0570,0.1071,0.0387,309.465,0.268,18.367
1.9,0.04,0.1115,0.1049,0.0388,310.211,0.269,17.984
2.9,0.06,0.1634,0.1025,0.0388,310.211,0.269,17.584
3.8,0.08,0.2129,0.1000,0.0388,309.465,0.269,17.157
4.8,0.10,0.2599,0.0974,0.0387,308.720,0.268,16.708
5.8,0.12,0.3044,0.0947,0.0385,307.228,0.267,16.236
6.7,0.14,0.3466,0.0917,0.0382,304.991,0.265,15.738
7.7,0.17,0.3863,0.0887,0.0379,302.754,0.263,15.217
8.6,0.19,0.4237,0.0855,0.0375,299.026,0.260,14.670
9.6,0.21,0.4587,0.0822,0.0370,295.297,0.256,14.101
10.6,0.23,0.4911,0.0787,0.0364,290.823,0.252,13.500
11.5,0.25,0.5211,0.0751,0.0357,284.857,0.247,12.882
12.5,0.27,0.5484,0.0713,0.0349,278.892,0.242,12.233
13.4,0.29,0.5729,0.0674,0.0340,271.435,0.236,11.561
14.4,0.31,0.5944,0.0633,0.0330,263.232,0.229,10.858
15.4,0.33,0.6127,0.0591,0.0318,254.284,0.221,10.137
16.3,0.35,0.6273,0.0548,0.0306,244.590,0.212,9.399
17.3,0.37,0.6380,0.0504,0.0293,234.150,0.203,8.638
18.3,0.39,0.6440,0.0459,0.0279,222.964,0.194,7.864
19.2,0.41,0.6446,0.0412,0.0264,211.033,0.183,7.073
20.2,0.43,0.6388,0.0366,0.0248,198.356,0.172,6.272
21.1,0.45,0.6250,0.0318,0.0231,184.188,0.160,5.454
22.1,0.47,0.6012,0.0270,0.0213,170.020,0.148,4.626
23.1,0.50,0.5642,0.0221,0.0194,155.106,0.134,3.790
24.0,0.52,0.5095,0.0172,0.0174,138.700,0.121,2.949
25.0,0.54,0.4294,0.0123,0.0153,122.295,0.106,2.108
25.9,0.56,0.3115,0.0074,0.0132,105.144,0.092,1.268
