# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1066,0.0416,6.711,0.021,1.361
0.3,0.02,0.0505,0.1045,0.0416,6.711,0.021,1.334
0.5,0.04,0.0989,0.1024,0.0417,6.711,0.021,1.308
0.8,0.06,0.1451,0.1002,0.0417,6.711,0.021,1.277
1.0,0.08,0.1892,0.0978,0.0416,6.711,0.021,1.246
1.3,0.10,0.2311,0.0953,0.0415,6.711,0.021,1.214
1.5,0.12,0.2708,0.0927,0.0413,6.711,0.021,1.183
1.8,0.14,0.3084,0.0899,0.0411,6.711,0.021,1.148
2.0,0.16,0.3437,0.0870,0.0408,6.711,0.021,1.112
2.3,0.18,0.3767,0.0840,0.0404,6.711,0.021,1.072
2.6,0.20,0.4073,0.0809,0.0399,6.711,0.021,1.032
2.8,0.22,0.4355,0.0776,0.0394,6.711,0.020,0.988
3.1,0.24,0.4611,0.0741,0.0388,5.966,0.020,0.947
3.3,0.26,0.4840,0.0706,0.0381,5.966,0.020,0.899
3.6,0.28,0.5040,0.0669,0.0374,5.966,0.019,0.854
3.8,0.30,0.5207,0.0630,0.0365,5.966,0.019,0.805
4.1,0.32,0.5339,0.0590,0.0356,5.966,0.018,0.752
4.3,0.34,0.5434,0.0549,0.0346,5.966,0.018,0.703
4.6,0.36,0.5487,0.0508,0.0335,5.220,0.017,0.649
4.9,0.38,0.5492,0.0465,0.0323,5.220,0.017,0.592
5.1,0.40,0.5443,0.0421,0.0311,5.220,0.016,0.538
5.4,0.42,0.5333,0.0376,0.0298,4.474,0.015,0.480
5.6,0.44,0.5151,0.0331,0.0284,4.474,0.015,0.423
5.9,0.46,0.4884,0.0285,0.0270,4.474,0.014,0.365
6.1,0.48,0.4516,0.0238,0.0254,4.474,0.013,0.302
6.4,0.50,0.4025,0.0191,0.0238,3.728,0.012,0.245
6.6,0.52,0.3382,0.0143,0.0222,3.728,0.011,0.182
6.9,0.54,0.2547,0.0096,0.0205,2.983,0.011,0.125
7.2,0.56,0.1466,0.0049,0.0187,2.983,0.010,0.062
7.4,0.58,0.0054,0.0002,0.0169,2.983,0.009,0.000
