# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1103,0.0388,511.550,0.376,26.422
1.1,0.02,0.0564,0.1082,0.0389,513.042,0.377,25.924
2.2,0.04,0.1103,0.1060,0.0390,513.787,0.377,25.399
3.3,0.06,0.1618,0.1037,0.0390,514.533,0.378,24.848
4.5,0.08,0.2109,0.1013,0.0390,513.787,0.377,24.261
5.6,0.10,0.2576,0.0987,0.0388,512.296,0.376,23.638
6.7,0.12,0.3019,0.0960,0.0387,510.059,0.375,22.993
7.8,0.14,0.3440,0.0931,0.0384,506.330,0.372,22.303
8.9,0.16,0.3838,0.0901,0.0381,501.856,0.369,21.583
10.0,0.18,0.4212,0.0870,0.0377,496.636,0.365,20.835
11.2,0.20,0.4564,0.0837,0.0372,489.925,0.360,20.044
12.3,0.22,0.4893,0.0803,0.0366,482.468,0.354,19.225
13.4,0.24,0.5198,0.0767,0.0359,473.519,0.348,18.371
14.5,0.26,0.5478,0.0730,0.0351,463.080,0.340,17.477
15.6,0.28,0.5732,0.0691,0.0342,451.148,0.331,16.556
16.7,0.30,0.5958,0.0651,0.0332,438.472,0.322,15.591
17.9,0.32,0.6154,0.0609,0.0321,423.558,0.311,14.599
19.0,0.34,0.6317,0.0567,0.0309,407.898,0.300,13.576
20.1,0.37,0.6444,0.0523,0.0296,390.747,0.287,12.531
21.2,0.39,0.6529,0.0478,0.0282,372.104,0.274,11.463
22.3,0.41,0.6567,0.0433,0.0267,352.716,0.259,10.373
23.4,0.43,0.6546,0.0387,0.0252,331.836,0.244,9.261
24.6,0.45,0.6456,0.0340,0.0235,309.465,0.227,8.136
25.7,0.47,0.6279,0.0292,0.0217,285.603,0.210,6.993
26.8,0.49,0.5987,0.0244,0.0198,260.995,0.192,5.836
27.9,0.51,0.5543,0.0195,0.0178,234.895,0.173,4.671
29.0,0.53,0.4884,0.0146,0.0158,208.050,0.153,3.505
30.1,0.55,0.3907,0.0097,0.0137,179.714,0.132,2.335
31.3,0.57,0.2423,0.0049,0.0115,151.377,0.111,1.170
32.4,0.59,0.0027,0.0000,0.0092,120.803,0.089,0.009
