# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1180,0.0432,2398.171,1.091,73.756
1.8,0.02,0.0544,0.1159,0.0431,2398.171,1.090,72.444
3.6,0.04,0.1069,0.1136,0.0431,2393.697,1.089,71.029
5.4,0.06,0.1574,0.1112,0.0429,2386.985,1.085,69.535
7.2,0.08,0.2060,0.1087,0.0428,2376.545,1.081,67.951
9.0,0.10,0.2526,0.1060,0.0425,2361.631,1.074,66.252
10.8,0.12,0.2973,0.1031,0.0422,2343.735,1.066,64.468
12.6,0.14,0.3400,0.1001,0.0418,2321.364,1.056,62.586
14.4,0.16,0.3807,0.0969,0.0413,2293.773,1.043,60.589
16.2,0.18,0.4194,0.0936,0.0407,2262.453,1.029,58.521
18.0,0.20,0.4561,0.0901,0.0400,2224.423,1.012,56.328
19.8,0.22,0.4907,0.0865,0.0393,2182.664,0.993,54.055
21.6,0.24,0.5232,0.0826,0.0384,2134.193,0.971,51.662
23.4,0.26,0.5534,0.0787,0.0374,2081.248,0.946,49.180
25.2,0.28,0.5812,0.0745,0.0364,2022.338,0.919,46.600
27.0,0.30,0.6062,0.0702,0.0352,1956.716,0.890,43.899
28.8,0.32,0.6282,0.0658,0.0339,1886.621,0.858,41.115
30.6,0.34,0.6470,0.0612,0.0326,1810.559,0.823,38.250
32.4,0.36,0.6622,0.0565,0.0311,1729.278,0.786,35.314
34.2,0.39,0.6731,0.0517,0.0296,1642.777,0.747,32.312
36.0,0.41,0.6789,0.0468,0.0279,1551.801,0.706,29.243
37.8,0.43,0.6784,0.0418,0.0262,1456.352,0.662,26.120
39.6,0.45,0.6700,0.0367,0.0244,1357.174,0.617,22.939
41.4,0.47,0.6516,0.0315,0.0226,1253.521,0.570,19.715
43.2,0.49,0.6199,0.0263,0.0206,1147.632,0.522,16.454
45.0,0.51,0.5705,0.0211,0.0187,1038.760,0.473,13.162
46.8,0.53,0.4967,0.0158,0.0167,929.142,0.422,9.853
48.6,0.55,0.3886,0.0105,0.0147,818.778,0.372,6.539
50.4,0.57,0.2306,0.0052,0.0127,708.415,0.322,3.238
52.2,0.59,-0.0060,-0.0001,0.0108,597.306,0.272,-0.067
