# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1046,0.0381,1.491,0.012,0.569
0.1,0.02,0.0469,0.1022,0.0381,1.491,0.012,0.556
0.2,0.04,0.0917,0.0996,0.0380,1.491,0.012,0.543
0.3,0.05,0.1344,0.0970,0.0378,1.491,0.012,0.529
0.4,0.07,0.1750,0.0942,0.0376,1.491,0.012,0.512
0.5,0.09,0.2133,0.0914,0.0374,1.491,0.012,0.498
0.6,0.10,0.2494,0.0885,0.0372,1.491,0.011,0.480
0.7,0.12,0.2832,0.0854,0.0369,1.491,0.011,0.467
0.8,0.14,0.3146,0.0823,0.0366,1.491,0.011,0.449
0.9,0.16,0.3435,0.0791,0.0362,1.491,0.011,0.431
1.0,0.17,0.3699,0.0757,0.0358,1.491,0.011,0.414
1.1,0.19,0.3936,0.0723,0.0353,1.491,0.011,0.396
1.2,0.21,0.4145,0.0688,0.0348,1.491,0.011,0.374
1.3,0.23,0.4324,0.0652,0.0343,0.746,0.011,0.356
1.4,0.24,0.4472,0.0616,0.0337,0.746,0.010,0.334
1.6,0.26,0.4587,0.0578,0.0330,0.746,0.010,0.316
1.7,0.28,0.4666,0.0540,0.0324,0.746,0.010,0.294
1.8,0.30,0.4706,0.0501,0.0316,0.746,0.010,0.271
1.9,0.31,0.4704,0.0461,0.0308,0.746,0.009,0.249
2.0,0.33,0.4656,0.0421,0.0300,0.746,0.009,0.227
2.1,0.35,0.4557,0.0379,0.0291,0.746,0.009,0.205
2.2,0.37,0.4401,0.0338,0.0282,0.746,0.009,0.182
2.3,0.38,0.4183,0.0296,0.0272,0.746,0.008,0.160
2.4,0.40,0.3894,0.0253,0.0261,0.746,0.008,0.138
2.5,0.42,0.3525,0.0211,0.0250,0.746,0.008,0.116
2.6,0.44,0.3066,0.0168,0.0239,0.746,0.007,0.093
2.7,0.45,0.2501,0.0125,0.0227,0.746,0.007,0.067
2.8,0.47,0.1811,0.0083,0.0215,0.746,0.007,0.044
2.9,0.49,0.0970,0.0040,0.0203,0.746,0.006,0.022
3.0,0.51,-0.0069,-0.0003,0.0190,0.746,0.006,0.000
