# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1095,0.0376,1214.745,1.160,59.633
1.0,0.02,0.0500,0.1069,0.0375,1209.525,1.155,58.227
2.1,0.04,0.0980,0.1042,0.0373,1204.305,1.150,56.768
3.1,0.05,0.1440,0.1015,0.0371,1196.848,1.143,55.256
4.2,0.07,0.1879,0.0986,0.0368,1188.646,1.135,53.690
5.2,0.09,0.2297,0.0956,0.0365,1178.206,1.125,52.075
6.2,0.11,0.2694,0.0926,0.0362,1167.020,1.114,50.403
7.3,0.12,0.3070,0.0894,0.0358,1153.598,1.102,48.672
8.3,0.14,0.3423,0.0861,0.0353,1139.429,1.088,46.889
9.4,0.16,0.3755,0.0827,0.0348,1123.024,1.072,45.052
10.4,0.18,0.4062,0.0792,0.0342,1104.382,1.055,43.157
11.4,0.19,0.4346,0.0757,0.0336,1084.248,1.036,41.213
12.5,0.21,0.4604,0.0720,0.0329,1062.622,1.015,39.216
13.5,0.23,0.4835,0.0683,0.0322,1039.506,0.992,37.178
14.6,0.25,0.5038,0.0644,0.0314,1013.406,0.968,35.092
15.6,0.26,0.5211,0.0605,0.0306,986.561,0.942,32.961
16.6,0.28,0.5350,0.0565,0.0297,957.479,0.914,30.786
17.7,0.30,0.5453,0.0525,0.0287,926.159,0.884,28.571
18.7,0.32,0.5516,0.0483,0.0277,892.603,0.852,26.316
19.8,0.33,0.5534,0.0441,0.0266,857.555,0.819,24.020
20.8,0.35,0.5501,0.0398,0.0254,820.270,0.783,21.690
21.8,0.37,0.5407,0.0355,0.0242,780.748,0.745,19.332
22.9,0.39,0.5245,0.0311,0.0229,738.989,0.706,16.948
23.9,0.40,0.5000,0.0267,0.0216,695.738,0.664,14.546
25.0,0.42,0.4657,0.0223,0.0201,650.250,0.621,12.135
26.0,0.44,0.4190,0.0179,0.0187,603.271,0.576,9.724
27.0,0.46,0.3566,0.0134,0.0172,554.801,0.530,7.317
28.1,0.47,0.2735,0.0090,0.0156,504.093,0.482,4.911
29.1,0.49,0.1621,0.0046,0.0140,452.640,0.432,2.518
30.2,0.51,0.0068,0.0002,0.0123,397.458,0.380,0.089
