# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1085,0.0373,876.197,0.930,47.863
1.0,0.02,0.0509,0.1059,0.0371,873.215,0.927,46.715
1.9,0.04,0.0997,0.1032,0.0370,869.486,0.922,45.523
2.9,0.05,0.1463,0.1004,0.0367,864.266,0.917,44.286
3.8,0.07,0.1908,0.0975,0.0365,858.301,0.911,43.005
4.8,0.09,0.2331,0.0945,0.0362,850.844,0.903,41.680
5.7,0.11,0.2732,0.0914,0.0358,842.641,0.894,40.310
6.7,0.12,0.3110,0.0882,0.0354,833.692,0.884,38.895
7.6,0.14,0.3465,0.0849,0.0350,822.507,0.873,37.432
8.6,0.16,0.3796,0.0814,0.0345,810.576,0.860,35.924
9.5,0.18,0.4103,0.0779,0.0339,797.153,0.846,34.371
10.5,0.20,0.4384,0.0743,0.0333,782.985,0.831,32.774
11.4,0.21,0.4638,0.0706,0.0326,766.579,0.814,31.138
12.4,0.23,0.4864,0.0668,0.0319,749.428,0.795,29.461
13.3,0.25,0.5059,0.0629,0.0311,730.786,0.776,27.748
14.3,0.27,0.5223,0.0589,0.0302,710.652,0.754,25.995
15.2,0.29,0.5350,0.0549,0.0293,689.027,0.731,24.212
16.2,0.30,0.5439,0.0508,0.0283,665.910,0.707,22.392
17.1,0.32,0.5485,0.0466,0.0273,641.302,0.681,20.537
18.1,0.34,0.5481,0.0423,0.0262,615.202,0.653,18.651
19.0,0.36,0.5422,0.0379,0.0250,587.611,0.624,16.739
20.0,0.37,0.5298,0.0336,0.0237,558.529,0.593,14.804
20.9,0.39,0.5097,0.0291,0.0224,527.956,0.560,12.846
21.9,0.41,0.4806,0.0247,0.0211,495.890,0.526,10.880
22.8,0.43,0.4405,0.0202,0.0196,462.334,0.491,8.914
23.8,0.45,0.3865,0.0157,0.0182,427.286,0.454,6.944
24.8,0.46,0.3146,0.0113,0.0166,391.492,0.415,4.978
25.7,0.48,0.2188,0.0068,0.0151,354.207,0.376,3.016
26.7,0.50,0.0894,0.0024,0.0134,315.431,0.335,1.059
