# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1201,0.0433,5720.264,3.414,167.493
1.7,0.02,0.0494,0.1172,0.0430,5685.962,3.394,163.423
3.4,0.04,0.0968,0.1142,0.0428,5651.659,3.373,159.189
5.2,0.05,0.1421,0.1110,0.0425,5614.374,3.351,154.798
6.9,0.07,0.1853,0.1078,0.0422,5571.869,3.326,150.248
8.6,0.09,0.2263,0.1044,0.0418,5524.890,3.298,145.532
10.3,0.11,0.2649,0.1009,0.0414,5473.437,3.267,140.657
12.0,0.13,0.3010,0.0973,0.0410,5419.001,3.234,135.617
13.7,0.14,0.3345,0.0935,0.0405,5360.091,3.199,130.413
15.5,0.16,0.3651,0.0897,0.0401,5296.706,3.162,125.048
17.2,0.18,0.3927,0.0857,0.0396,5230.339,3.122,119.519
18.9,0.20,0.4169,0.0817,0.0390,5160.989,3.081,113.843
20.6,0.22,0.4376,0.0775,0.0385,5090.147,3.038,108.021
22.3,0.24,0.4544,0.0732,0.0380,5017.814,2.995,102.069
24.1,0.25,0.4670,0.0688,0.0374,4944.736,2.951,95.979
25.8,0.27,0.4750,0.0644,0.0369,4871.657,2.908,89.770
27.5,0.29,0.4780,0.0598,0.0363,4798.579,2.864,83.431
29.2,0.31,0.4757,0.0552,0.0358,4726.991,2.821,76.976
30.9,0.33,0.4676,0.0505,0.0352,4657.641,2.780,70.411
32.7,0.34,0.4533,0.0457,0.0347,4590.528,2.740,63.739
34.4,0.36,0.4325,0.0409,0.0343,4527.890,2.703,56.977
36.1,0.38,0.4048,0.0360,0.0338,4469.725,2.668,50.145
37.8,0.40,0.3702,0.0310,0.0334,4417.526,2.637,43.263
39.5,0.42,0.3287,0.0261,0.0331,4372.038,2.610,36.369
41.2,0.43,0.2804,0.0211,0.0328,4334.753,2.587,29.478
43.0,0.45,0.2257,0.0162,0.0326,4305.671,2.570,22.619
44.7,0.47,0.1648,0.0113,0.0324,4284.791,2.557,15.805
46.4,0.49,0.0983,0.0065,0.0323,4269.132,2.548,9.048
48.1,0.51,0.0260,0.0017,0.0322,4251.981,2.538,2.300
