# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1063,0.0366,255.029,0.407,20.844
0.6,0.02,0.0498,0.1038,0.0365,254.284,0.405,20.351
1.2,0.04,0.0975,0.1012,0.0364,253.538,0.404,19.844
1.9,0.05,0.1431,0.0985,0.0362,252.792,0.402,19.314
2.5,0.07,0.1865,0.0957,0.0360,250.555,0.399,18.767
3.1,0.09,0.2277,0.0929,0.0357,249.064,0.396,18.202
3.7,0.11,0.2668,0.0899,0.0354,246.827,0.393,17.619
4.4,0.12,0.3036,0.0868,0.0351,244.590,0.389,17.014
5.0,0.14,0.3381,0.0836,0.0347,241.607,0.385,16.392
5.6,0.16,0.3702,0.0803,0.0342,238.624,0.380,15.751
6.2,0.18,0.3999,0.0770,0.0337,234.895,0.374,15.088
6.9,0.19,0.4271,0.0735,0.0332,231.167,0.368,14.408
7.5,0.21,0.4516,0.0699,0.0326,226.693,0.361,13.709
8.1,0.23,0.4733,0.0663,0.0319,222.219,0.354,12.998
8.7,0.25,0.4921,0.0626,0.0312,217.744,0.346,12.268
9.3,0.26,0.5077,0.0588,0.0304,211.779,0.338,11.521
10.0,0.28,0.5199,0.0549,0.0296,206.559,0.328,10.760
10.6,0.30,0.5284,0.0509,0.0287,199.848,0.319,9.986
11.2,0.32,0.5327,0.0469,0.0278,193.882,0.308,9.194
11.8,0.33,0.5325,0.0428,0.0268,186.425,0.297,8.394
12.5,0.35,0.5271,0.0386,0.0257,178.968,0.285,7.575
13.1,0.37,0.5157,0.0344,0.0246,171.511,0.273,6.748
13.7,0.39,0.4975,0.0302,0.0234,163.308,0.259,5.916
14.3,0.40,0.4713,0.0259,0.0221,154.360,0.246,5.075
15.0,0.42,0.4357,0.0216,0.0208,145.411,0.231,4.230
15.6,0.44,0.3885,0.0173,0.0195,135.717,0.216,3.385
16.2,0.46,0.3270,0.0130,0.0181,126.023,0.201,2.544
16.8,0.47,0.2472,0.0087,0.0166,115.583,0.184,1.704
17.4,0.49,0.1430,0.0044,0.0151,105.144,0.168,0.863
18.1,0.51,0.0030,0.0001,0.0135,94.704,0.150,0.018
