# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1135,0.0394,2792.646,2.051,104.502
1.4,0.02,0.0504,0.1108,0.0392,2778.478,2.041,101.998
2.7,0.04,0.0988,0.1080,0.0390,2762.072,2.029,99.400
4.1,0.05,0.1453,0.1051,0.0387,2742.684,2.015,96.704
5.5,0.07,0.1897,0.1020,0.0383,2718.822,1.997,93.911
6.9,0.09,0.2321,0.0989,0.0380,2692.722,1.978,91.024
8.2,0.11,0.2725,0.0957,0.0375,2662.149,1.956,88.039
9.6,0.12,0.3107,0.0923,0.0371,2627.846,1.931,84.952
11.0,0.14,0.3468,0.0888,0.0365,2589.816,1.903,81.772
12.4,0.16,0.3807,0.0853,0.0359,2548.056,1.872,78.484
13.7,0.18,0.4123,0.0816,0.0353,2501.823,1.838,75.104
15.1,0.20,0.4414,0.0778,0.0346,2451.115,1.801,71.630
16.5,0.21,0.4681,0.0740,0.0338,2396.679,1.760,68.067
17.9,0.23,0.4920,0.0700,0.0330,2337.769,1.717,64.424
19.2,0.25,0.5130,0.0660,0.0321,2275.130,1.671,60.696
20.6,0.27,0.5308,0.0618,0.0311,2208.017,1.622,56.893
22.0,0.29,0.5451,0.0576,0.0301,2136.430,1.569,53.009
23.3,0.30,0.5556,0.0533,0.0291,2061.114,1.514,49.055
24.7,0.32,0.5618,0.0489,0.0279,1981.325,1.455,45.029
26.1,0.34,0.5629,0.0445,0.0268,1897.060,1.394,40.933
27.5,0.36,0.5582,0.0400,0.0255,1809.068,1.329,36.778
28.8,0.37,0.5467,0.0354,0.0242,1717.347,1.262,32.565
30.2,0.39,0.5273,0.0308,0.0229,1621.897,1.192,28.313
31.6,0.41,0.4982,0.0261,0.0215,1523.465,1.119,24.034
33.0,0.43,0.4574,0.0215,0.0201,1422.795,1.045,19.746
34.3,0.45,0.4020,0.0168,0.0186,1319.889,0.969,15.453
35.7,0.46,0.3281,0.0121,0.0171,1214.745,0.892,11.161
37.1,0.48,0.2302,0.0075,0.0156,1108.110,0.814,6.881
38.4,0.50,0.1001,0.0028,0.0141,999.984,0.734,2.602
