# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1120,0.0387,2157.310,1.717,87.821
1.3,0.02,0.0499,0.1093,0.0385,2147.616,1.709,85.748
2.5,0.04,0.0978,0.1066,0.0383,2135.684,1.700,83.595
3.8,0.05,0.1438,0.1038,0.0380,2121.516,1.688,81.362
5.0,0.07,0.1878,0.1008,0.0377,2105.111,1.675,79.054
6.2,0.09,0.2297,0.0978,0.0374,2085.723,1.660,76.670
7.5,0.11,0.2696,0.0946,0.0370,2063.352,1.642,74.201
8.7,0.12,0.3075,0.0914,0.0366,2038.743,1.622,71.652
10.0,0.14,0.3432,0.0880,0.0361,2011.153,1.600,69.019
11.2,0.16,0.3767,0.0846,0.0355,1979.833,1.576,66.310
12.5,0.18,0.4079,0.0810,0.0349,1946.277,1.549,63.516
13.8,0.19,0.4368,0.0773,0.0342,1908.992,1.519,60.643
15.0,0.21,0.4632,0.0736,0.0335,1868.724,1.487,57.702
16.2,0.23,0.4870,0.0697,0.0327,1824.728,1.452,54.695
17.5,0.25,0.5080,0.0658,0.0319,1777.748,1.415,51.617
18.7,0.26,0.5260,0.0618,0.0310,1727.787,1.375,48.477
20.0,0.28,0.5408,0.0577,0.0300,1674.096,1.332,45.270
21.2,0.30,0.5520,0.0536,0.0290,1616.677,1.287,42.005
22.5,0.32,0.5592,0.0493,0.0279,1556.276,1.239,38.682
23.7,0.33,0.5619,0.0450,0.0268,1492.145,1.187,35.301
25.0,0.35,0.5594,0.0406,0.0255,1424.287,1.133,31.867
26.3,0.37,0.5508,0.0362,0.0243,1352.700,1.077,28.389
27.5,0.39,0.5352,0.0317,0.0229,1278.130,1.017,24.874
28.7,0.40,0.5111,0.0272,0.0215,1199.831,0.955,21.334
30.0,0.42,0.4768,0.0227,0.0201,1119.296,0.891,17.784
31.2,0.44,0.4295,0.0181,0.0186,1035.777,0.824,14.234
32.5,0.46,0.3656,0.0136,0.0170,949.276,0.756,10.680
33.7,0.47,0.2797,0.0091,0.0154,860.538,0.685,7.135
35.0,0.49,0.1636,0.0046,0.0138,770.308,0.613,3.599
36.2,0.51,0.0001,0.0000,0.0121,674.858,0.537,0.004
