# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1422,0.0565,648.013,0.344,26.756
1.4,0.02,0.0552,0.1394,0.0566,648.759,0.344,26.222
2.7,0.04,0.1081,0.1364,0.0565,648.759,0.344,25.662
4.1,0.07,0.1587,0.1333,0.0564,647.267,0.343,25.070
5.5,0.09,0.2071,0.1300,0.0563,645.030,0.342,24.447
6.8,0.11,0.2532,0.1265,0.0560,642.048,0.341,23.798
8.2,0.13,0.2971,0.1229,0.0556,637.573,0.338,23.113
9.6,0.16,0.3388,0.1190,0.0551,632.353,0.335,22.392
10.9,0.18,0.3783,0.1151,0.0545,624.896,0.332,21.645
12.3,0.20,0.4155,0.1109,0.0538,617.439,0.327,20.862
13.7,0.22,0.4505,0.1066,0.0530,607.745,0.322,20.044
15.0,0.25,0.4831,0.1020,0.0521,597.306,0.317,19.194
16.4,0.27,0.5133,0.0974,0.0510,584.629,0.310,18.313
17.8,0.29,0.5410,0.0925,0.0498,571.206,0.303,17.401
19.1,0.31,0.5660,0.0875,0.0485,555.546,0.295,16.454
20.5,0.34,0.5881,0.0823,0.0470,539.141,0.286,15.475
21.9,0.36,0.6070,0.0769,0.0454,521.244,0.276,14.470
23.2,0.38,0.6226,0.0715,0.0437,501.110,0.266,13.443
24.6,0.40,0.6342,0.0659,0.0419,480.231,0.255,12.393
26.0,0.43,0.6415,0.0602,0.0399,457.860,0.243,11.325
27.3,0.45,0.6437,0.0544,0.0379,433.997,0.230,10.235
28.7,0.47,0.6398,0.0485,0.0357,409.389,0.217,9.123
30.1,0.49,0.6286,0.0425,0.0333,382.544,0.203,7.998
31.4,0.52,0.6081,0.0365,0.0309,354.207,0.188,6.859
32.8,0.54,0.5759,0.0304,0.0283,325.125,0.172,5.712
34.1,0.56,0.5282,0.0242,0.0257,294.551,0.156,4.555
35.5,0.58,0.4593,0.0181,0.0229,262.486,0.139,3.398
36.9,0.60,0.3606,0.0120,0.0201,230.421,0.122,2.251
38.2,0.63,0.2170,0.0059,0.0172,196.865,0.104,1.117
39.6,0.65,-0.0016,0.0000,0.0142,162.563,0.086,-0.009
