# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1375,0.0544,78.298,0.083,6.468
0.7,0.02,0.0553,0.1347,0.0545,78.298,0.083,6.334
1.4,0.04,0.1081,0.1318,0.0545,78.298,0.083,6.196
2.0,0.07,0.1586,0.1287,0.0544,78.298,0.083,6.054
2.7,0.09,0.2068,0.1255,0.0543,77.553,0.083,5.903
3.4,0.11,0.2526,0.1221,0.0541,77.553,0.082,5.743
4.1,0.13,0.2960,0.1186,0.0537,76.807,0.082,5.578
4.8,0.16,0.3372,0.1149,0.0533,76.807,0.081,5.405
5.5,0.18,0.3760,0.1110,0.0528,76.061,0.080,5.222
6.1,0.20,0.4124,0.1070,0.0522,74.570,0.079,5.031
6.8,0.22,0.4464,0.1028,0.0515,73.824,0.078,4.835
7.5,0.25,0.4779,0.0985,0.0507,72.333,0.077,4.631
8.2,0.27,0.5068,0.0939,0.0497,71.587,0.076,4.417
8.9,0.29,0.5330,0.0892,0.0487,70.096,0.074,4.195
9.5,0.31,0.5563,0.0844,0.0475,67.859,0.072,3.968
10.2,0.34,0.5766,0.0793,0.0462,66.367,0.070,3.732
10.9,0.36,0.5934,0.0742,0.0447,64.130,0.068,3.492
11.6,0.38,0.6066,0.0689,0.0432,61.893,0.066,3.243
12.3,0.40,0.6157,0.0635,0.0415,59.656,0.063,2.989
12.9,0.42,0.6202,0.0581,0.0398,56.673,0.060,2.731
13.6,0.45,0.6193,0.0525,0.0379,54.436,0.058,2.469
14.3,0.47,0.6121,0.0468,0.0359,51.453,0.055,2.202
15.0,0.49,0.5974,0.0410,0.0338,48.470,0.051,1.931
15.7,0.51,0.5735,0.0352,0.0315,45.488,0.048,1.655
16.4,0.54,0.5380,0.0293,0.0292,41.759,0.044,1.375
17.0,0.56,0.4877,0.0233,0.0267,38.031,0.041,1.099
17.7,0.58,0.4181,0.0174,0.0242,35.048,0.037,0.818
18.4,0.60,0.3221,0.0115,0.0216,31.319,0.033,0.543
19.1,0.63,0.1891,0.0057,0.0189,26.845,0.029,0.267
19.8,0.65,-0.0011,0.0000,0.0162,23.117,0.025,0.000
