# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1396,0.0552,297.534,0.203,15.893
1.1,0.02,0.0563,0.1368,0.0553,298.280,0.203,15.569
2.2,0.05,0.1102,0.1338,0.0553,298.280,0.203,15.226
3.2,0.07,0.1616,0.1306,0.0552,297.534,0.203,14.866
4.3,0.09,0.2107,0.1273,0.0550,296.789,0.202,14.488
5.4,0.11,0.2574,0.1238,0.0547,295.297,0.201,14.092
6.5,0.14,0.3017,0.1202,0.0544,293.060,0.200,13.674
7.6,0.16,0.3437,0.1163,0.0539,290.823,0.198,13.238
8.6,0.18,0.3833,0.1123,0.0533,287.840,0.196,12.784
9.7,0.20,0.4205,0.1082,0.0527,284.112,0.194,12.308
10.8,0.23,0.4553,0.1038,0.0519,279.637,0.191,11.810
11.9,0.25,0.4876,0.0993,0.0509,275.163,0.188,11.294
12.9,0.27,0.5173,0.0945,0.0499,269.198,0.184,10.760
14.0,0.30,0.5442,0.0897,0.0487,263.232,0.179,10.204
15.1,0.32,0.5682,0.0846,0.0474,255.775,0.175,9.630
16.2,0.34,0.5891,0.0794,0.0460,248.318,0.169,9.034
17.3,0.36,0.6066,0.0740,0.0444,239.370,0.163,8.425
18.3,0.39,0.6203,0.0686,0.0427,230.421,0.157,7.802
19.4,0.41,0.6298,0.0630,0.0409,220.727,0.151,7.166
20.5,0.43,0.6345,0.0573,0.0390,210.287,0.144,6.517
21.6,0.46,0.6335,0.0514,0.0370,199.102,0.136,5.854
22.7,0.48,0.6257,0.0455,0.0348,187.916,0.128,5.182
23.7,0.50,0.6097,0.0396,0.0325,175.239,0.120,4.502
24.8,0.52,0.5833,0.0335,0.0301,161.817,0.111,3.812
25.9,0.55,0.5437,0.0274,0.0275,148.394,0.101,3.118
27.0,0.57,0.4865,0.0213,0.0249,134.226,0.092,2.420
28.0,0.59,0.4053,0.0152,0.0221,119.312,0.081,1.726
29.1,0.61,0.2898,0.0091,0.0193,104.398,0.071,1.036
30.2,0.64,0.1222,0.0032,0.0165,88.738,0.061,0.360
