# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1495,0.0610,1872.452,0.715,54.237
1.9,0.02,0.0538,0.1466,0.0610,1872.452,0.715,53.187
3.8,0.04,0.1056,0.1435,0.0609,1870.215,0.714,52.075
5.7,0.07,0.1552,0.1403,0.0607,1864.995,0.712,50.901
7.6,0.09,0.2028,0.1368,0.0604,1856.793,0.709,49.660
9.5,0.11,0.2484,0.1333,0.0601,1844.861,0.705,48.357
11.4,0.13,0.2919,0.1295,0.0596,1830.693,0.699,46.987
13.3,0.16,0.3335,0.1255,0.0590,1812.051,0.692,45.550
15.2,0.18,0.3730,0.1214,0.0583,1790.425,0.684,44.042
17.1,0.20,0.4104,0.1170,0.0574,1765.072,0.674,42.467
19.0,0.22,0.4458,0.1125,0.0565,1735.989,0.663,40.821
20.8,0.25,0.4789,0.1078,0.0554,1702.433,0.650,39.109
22.7,0.27,0.5097,0.1029,0.0542,1665.894,0.636,37.329
24.6,0.29,0.5380,0.0978,0.0529,1624.880,0.621,35.483
26.5,0.31,0.5636,0.0925,0.0514,1580.138,0.604,33.571
28.4,0.34,0.5862,0.0871,0.0499,1531.668,0.585,31.591
30.3,0.36,0.6055,0.0815,0.0482,1480.214,0.565,29.558
32.2,0.38,0.6211,0.0757,0.0464,1425.778,0.544,27.477
34.1,0.40,0.6322,0.0698,0.0445,1367.614,0.522,25.346
36.0,0.43,0.6383,0.0639,0.0426,1307.212,0.499,23.171
37.9,0.45,0.6383,0.0577,0.0405,1244.573,0.475,20.956
39.8,0.47,0.6310,0.0515,0.0384,1179.697,0.451,18.700
41.7,0.49,0.6148,0.0452,0.0362,1113.330,0.425,16.409
43.6,0.51,0.5877,0.0388,0.0340,1044.726,0.399,14.088
45.5,0.54,0.5470,0.0323,0.0318,976.121,0.373,11.739
47.4,0.56,0.4895,0.0258,0.0295,907.517,0.347,9.372
49.3,0.58,0.4112,0.0193,0.0273,838.912,0.320,7.002
51.2,0.60,0.3074,0.0128,0.0251,772.545,0.295,4.639
53.1,0.63,0.1725,0.0063,0.0230,708.415,0.270,2.300
55.0,0.65,-0.0015,0.0000,0.0210,645.776,0.247,-0.018
