# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1439,0.0575,903.788,0.432,33.419
1.5,0.02,0.0550,0.1410,0.0575,904.534,0.432,32.757
3.0,0.04,0.1077,0.1380,0.0575,903.788,0.432,32.058
4.6,0.07,0.1582,0.1349,0.0573,902.297,0.431,31.320
6.1,0.09,0.2065,0.1315,0.0571,898.568,0.429,30.546
7.6,0.11,0.2525,0.1280,0.0568,894.094,0.427,29.732
9.1,0.13,0.2964,0.1243,0.0564,887.383,0.424,28.878
10.6,0.16,0.3381,0.1205,0.0559,879.926,0.420,27.984
12.2,0.18,0.3777,0.1165,0.0553,870.232,0.415,27.050
13.7,0.20,0.4151,0.1122,0.0546,858.301,0.410,26.071
15.2,0.22,0.4502,0.1079,0.0537,844.878,0.403,25.052
16.7,0.25,0.4831,0.1033,0.0527,829.964,0.396,23.989
18.2,0.27,0.5135,0.0986,0.0516,812.067,0.388,22.891
19.7,0.29,0.5415,0.0936,0.0504,792.679,0.378,21.747
21.3,0.31,0.5669,0.0885,0.0490,771.054,0.368,20.564
22.8,0.34,0.5894,0.0833,0.0475,747.937,0.357,19.341
24.3,0.36,0.6088,0.0779,0.0459,721.837,0.345,18.086
25.8,0.38,0.6248,0.0723,0.0441,694.247,0.331,16.805
27.3,0.40,0.6371,0.0667,0.0423,664.419,0.317,15.493
28.9,0.43,0.6450,0.0609,0.0402,633.099,0.302,14.154
30.4,0.45,0.6478,0.0551,0.0381,599.543,0.286,12.789
31.9,0.47,0.6446,0.0491,0.0359,563.749,0.269,11.401
33.4,0.49,0.6341,0.0430,0.0335,526.464,0.252,9.995
34.9,0.52,0.6144,0.0369,0.0310,486.942,0.233,8.572
36.4,0.54,0.5828,0.0307,0.0284,445.929,0.213,7.135
38.0,0.56,0.5354,0.0245,0.0256,403.424,0.193,5.685
39.5,0.58,0.4665,0.0183,0.0228,358.682,0.171,4.239
41.0,0.61,0.3668,0.0121,0.0199,313.194,0.150,2.802
42.5,0.63,0.2204,0.0060,0.0170,266.961,0.128,1.383
44.0,0.65,-0.0046,-0.0001,0.0140,219.981,0.105,-0.022
