# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1560,0.0697,3340.735,1.100,76.162
2.2,0.02,0.0504,0.1530,0.0692,3319.110,1.093,74.721
4.5,0.05,0.0994,0.1499,0.0687,3293.756,1.085,73.187
6.7,0.07,0.1471,0.1465,0.0681,3263.928,1.075,71.554
8.9,0.09,0.1935,0.1430,0.0673,3229.626,1.064,69.819
11.2,0.11,0.2384,0.1392,0.0665,3190.850,1.051,67.987
13.4,0.14,0.2817,0.1353,0.0656,3147.599,1.036,66.052
15.7,0.16,0.3235,0.1311,0.0646,3099.129,1.020,64.014
17.9,0.18,0.3630,0.1267,0.0636,3050.658,1.005,61.875
20.1,0.20,0.3996,0.1221,0.0627,3004.425,0.990,59.624
22.4,0.23,0.4330,0.1173,0.0617,2958.937,0.974,57.266
24.6,0.25,0.4631,0.1122,0.0607,2912.704,0.959,54.807
26.8,0.27,0.4899,0.1070,0.0597,2863.488,0.943,52.249
29.1,0.30,0.5131,0.1015,0.0586,2811.289,0.926,49.589
31.3,0.32,0.5322,0.0959,0.0575,2756.107,0.908,46.831
33.6,0.34,0.5469,0.0901,0.0563,2699.434,0.889,43.980
35.8,0.36,0.5564,0.0841,0.0551,2641.269,0.870,41.053
38.0,0.39,0.5601,0.0779,0.0539,2583.850,0.851,38.050
40.3,0.41,0.5575,0.0717,0.0527,2527.923,0.832,34.990
42.5,0.43,0.5478,0.0653,0.0516,2472.741,0.814,31.867
44.7,0.46,0.5304,0.0588,0.0505,2421.287,0.797,28.695
47.0,0.48,0.5047,0.0522,0.0495,2372.071,0.781,25.479
49.2,0.50,0.4704,0.0455,0.0485,2327.329,0.766,22.237
51.5,0.52,0.4273,0.0389,0.0477,2285.570,0.753,18.981
53.7,0.55,0.3755,0.0322,0.0469,2249.031,0.741,15.724
55.9,0.57,0.3152,0.0256,0.0462,2216.966,0.730,12.491
58.2,0.59,0.2470,0.0190,0.0457,2190.121,0.721,9.301
60.4,0.62,0.1718,0.0126,0.0452,2169.241,0.714,6.170
62.7,0.64,0.0903,0.0064,0.0449,2155.073,0.710,3.109
64.9,0.66,0.0023,0.0002,0.0446,2140.159,0.705,0.076
