# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1481,0.0601,1632.337,0.650,49.544
1.9,0.02,0.0551,0.1452,0.0601,1633.083,0.650,48.561
3.7,0.05,0.1080,0.1421,0.0600,1630.846,0.649,47.520
5.6,0.07,0.1586,0.1388,0.0598,1626.371,0.647,46.422
7.4,0.09,0.2072,0.1353,0.0596,1619.660,0.644,45.261
9.3,0.11,0.2535,0.1317,0.0592,1609.220,0.640,44.037
11.1,0.14,0.2978,0.1278,0.0587,1596.543,0.635,42.756
13.0,0.16,0.3399,0.1238,0.0581,1580.138,0.629,41.408
14.8,0.18,0.3799,0.1196,0.0574,1560.750,0.621,39.994
16.7,0.21,0.4177,0.1152,0.0566,1537.633,0.612,38.517
18.5,0.23,0.4534,0.1106,0.0556,1511.534,0.601,36.974
20.4,0.25,0.4868,0.1058,0.0545,1480.960,0.589,35.368
22.2,0.27,0.5177,0.1008,0.0532,1447.403,0.576,33.700
24.1,0.30,0.5462,0.0956,0.0519,1410.118,0.561,31.965
25.9,0.32,0.5718,0.0902,0.0504,1368.359,0.545,30.168
27.8,0.34,0.5945,0.0847,0.0487,1323.617,0.527,28.317
29.6,0.36,0.6138,0.0790,0.0469,1275.892,0.508,26.414
31.5,0.39,0.6293,0.0731,0.0450,1224.439,0.487,24.461
33.4,0.41,0.6404,0.0672,0.0431,1170.003,0.466,22.468
35.2,0.43,0.6463,0.0611,0.0410,1113.330,0.443,20.435
37.1,0.46,0.6461,0.0549,0.0387,1052.928,0.419,18.362
38.9,0.48,0.6383,0.0486,0.0365,991.035,0.394,16.254
40.8,0.50,0.6211,0.0422,0.0341,926.159,0.369,14.114
42.6,0.52,0.5921,0.0357,0.0316,859.792,0.342,11.948
44.5,0.55,0.5479,0.0292,0.0291,791.933,0.315,9.759
46.3,0.57,0.4840,0.0226,0.0266,723.329,0.288,7.562
48.2,0.59,0.3945,0.0160,0.0241,654.724,0.261,5.360
50.0,0.62,0.2712,0.0095,0.0216,586.866,0.234,3.180
51.9,0.64,0.1023,0.0031,0.0192,520.499,0.207,1.028
