# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1402,0.0555,368.376,0.234,18.318
1.1,0.02,0.0554,0.1374,0.0555,368.376,0.235,17.949
2.3,0.04,0.1085,0.1344,0.0555,368.376,0.235,17.562
3.4,0.07,0.1593,0.1313,0.0554,367.630,0.234,17.157
4.6,0.09,0.2077,0.1281,0.0553,366.884,0.233,16.730
5.7,0.11,0.2538,0.1246,0.0550,364.647,0.232,16.280
6.8,0.13,0.2977,0.1210,0.0546,362.410,0.231,15.809
8.0,0.16,0.3393,0.1173,0.0542,359.427,0.229,15.320
9.1,0.18,0.3787,0.1133,0.0536,355.699,0.227,14.804
10.2,0.20,0.4157,0.1092,0.0530,351.225,0.224,14.265
11.4,0.22,0.4504,0.1049,0.0522,346.750,0.221,13.709
12.5,0.25,0.4827,0.1005,0.0513,340.785,0.217,13.127
13.7,0.27,0.5125,0.0958,0.0503,333.328,0.212,12.522
14.8,0.29,0.5397,0.0910,0.0491,325.871,0.208,11.895
15.9,0.31,0.5642,0.0861,0.0479,317.668,0.202,11.245
17.1,0.34,0.5857,0.0810,0.0465,307.974,0.196,10.578
18.2,0.36,0.6039,0.0757,0.0449,298.280,0.190,9.888
19.3,0.38,0.6187,0.0703,0.0433,287.094,0.183,9.186
20.5,0.40,0.6295,0.0648,0.0415,275.909,0.175,8.465
21.6,0.43,0.6358,0.0592,0.0396,263.232,0.167,7.735
22.8,0.45,0.6369,0.0535,0.0376,249.809,0.159,6.988
23.9,0.47,0.6319,0.0477,0.0355,235.641,0.150,6.228
25.0,0.49,0.6194,0.0418,0.0333,220.727,0.140,5.458
26.2,0.52,0.5976,0.0358,0.0309,205.067,0.130,4.680
27.3,0.54,0.5641,0.0298,0.0284,188.662,0.120,3.892
28.5,0.56,0.5152,0.0237,0.0258,171.511,0.109,3.100
29.6,0.58,0.4455,0.0177,0.0231,153.614,0.098,2.309
30.7,0.60,0.3469,0.0117,0.0204,134.972,0.086,1.526
31.9,0.63,0.2055,0.0057,0.0175,116.329,0.074,0.752
33.0,0.65,-0.0060,-0.0001,0.0146,96.941,0.062,-0.018
