# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1509,0.0621,2146.124,0.788,59.228
2.0,0.02,0.0541,0.1480,0.0621,2144.633,0.788,58.072
4.0,0.05,0.1061,0.1448,0.0619,2140.159,0.786,56.848
6.0,0.07,0.1560,0.1415,0.0617,2132.702,0.783,55.554
8.0,0.09,0.2039,0.1380,0.0614,2121.516,0.779,54.184
10.0,0.11,0.2498,0.1344,0.0610,2107.348,0.774,52.743
12.0,0.14,0.2937,0.1305,0.0605,2089.451,0.767,51.226
14.0,0.16,0.3354,0.1265,0.0598,2067.826,0.759,49.633
16.0,0.18,0.3751,0.1222,0.0591,2042.472,0.750,47.961
18.0,0.20,0.4126,0.1177,0.0582,2012.644,0.739,46.213
20.0,0.23,0.4479,0.1131,0.0572,1978.342,0.727,44.389
22.0,0.25,0.4809,0.1082,0.0561,1940.311,0.713,42.485
24.0,0.27,0.5113,0.1032,0.0549,1897.806,0.697,40.506
26.0,0.29,0.5391,0.0980,0.0536,1851.573,0.680,38.450
27.9,0.32,0.5638,0.0925,0.0521,1800.865,0.661,36.320
29.9,0.34,0.5851,0.0869,0.0505,1746.429,0.641,34.122
31.9,0.36,0.6026,0.0812,0.0489,1689.010,0.620,31.863
33.9,0.39,0.6158,0.0753,0.0471,1628.609,0.598,29.545
35.9,0.41,0.6239,0.0692,0.0453,1565.224,0.575,27.174
37.9,0.43,0.6260,0.0631,0.0434,1500.348,0.551,24.759
39.9,0.45,0.6211,0.0568,0.0415,1433.235,0.526,22.294
41.9,0.48,0.6077,0.0504,0.0395,1364.631,0.501,19.786
43.9,0.50,0.5842,0.0439,0.0375,1296.026,0.476,17.237
45.9,0.52,0.5486,0.0373,0.0355,1226.676,0.451,14.657
47.9,0.54,0.4985,0.0307,0.0335,1158.072,0.425,12.050
49.9,0.57,0.4312,0.0240,0.0316,1090.959,0.401,9.426
51.9,0.59,0.3441,0.0173,0.0297,1026.083,0.377,6.801
53.9,0.61,0.2345,0.0107,0.0279,964.936,0.354,4.199
55.9,0.63,0.1002,0.0041,0.0263,908.262,0.334,1.628
