# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1391,0.0550,237.133,0.174,13.652
1.0,0.02,0.0555,0.1363,0.0550,237.878,0.175,13.376
2.0,0.04,0.1086,0.1334,0.0550,237.878,0.175,13.087
3.0,0.07,0.1593,0.1303,0.0549,237.133,0.174,12.784
3.9,0.09,0.2078,0.1270,0.0548,236.387,0.174,12.464
4.9,0.11,0.2539,0.1236,0.0545,235.641,0.173,12.130
5.9,0.13,0.2977,0.1200,0.0542,234.150,0.172,11.779
6.9,0.16,0.3392,0.1163,0.0538,232.658,0.171,11.414
7.9,0.18,0.3784,0.1124,0.0532,229.676,0.169,11.027
8.9,0.20,0.4152,0.1083,0.0526,227.438,0.167,10.627
9.9,0.22,0.4497,0.1041,0.0518,223.710,0.165,10.213
10.8,0.25,0.4818,0.0996,0.0510,219.981,0.162,9.777
11.8,0.27,0.5114,0.0950,0.0500,215.507,0.159,9.328
12.8,0.29,0.5382,0.0903,0.0488,211.033,0.155,8.861
13.8,0.31,0.5623,0.0854,0.0476,205.813,0.151,8.376
14.8,0.34,0.5834,0.0803,0.0462,199.848,0.147,7.878
15.8,0.36,0.6012,0.0751,0.0447,193.136,0.142,7.366
16.8,0.38,0.6154,0.0697,0.0431,186.425,0.137,6.841
17.8,0.40,0.6257,0.0643,0.0414,178.968,0.131,6.303
18.7,0.43,0.6314,0.0587,0.0396,170.765,0.126,5.760
19.7,0.45,0.6318,0.0530,0.0376,162.563,0.119,5.200
20.7,0.47,0.6260,0.0473,0.0355,153.614,0.113,4.635
21.7,0.49,0.6127,0.0414,0.0333,143.920,0.106,4.061
22.7,0.52,0.5902,0.0355,0.0310,133.480,0.098,3.483
23.7,0.54,0.5559,0.0295,0.0285,123.040,0.091,2.896
24.7,0.56,0.5063,0.0235,0.0260,112.601,0.082,2.309
25.6,0.58,0.4363,0.0175,0.0234,100.669,0.074,1.717
26.6,0.60,0.3381,0.0115,0.0206,89.484,0.066,1.134
27.6,0.63,0.1986,0.0057,0.0179,77.553,0.057,0.556
28.6,0.65,-0.0072,-0.0002,0.0150,64.876,0.048,-0.018
