# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1364,0.0546,13.423,0.026,1.979
0.4,0.02,0.0545,0.1337,0.0547,13.423,0.026,1.939
0.8,0.04,0.1067,0.1308,0.0547,13.423,0.026,1.899
1.1,0.07,0.1566,0.1277,0.0546,13.423,0.026,1.855
1.5,0.09,0.2040,0.1246,0.0545,13.423,0.026,1.806
1.9,0.11,0.2492,0.1212,0.0543,13.423,0.025,1.761
2.3,0.13,0.2920,0.1177,0.0540,13.423,0.025,1.708
2.6,0.16,0.3325,0.1140,0.0536,13.423,0.025,1.655
3.0,0.18,0.3706,0.1102,0.0531,12.677,0.025,1.601
3.4,0.20,0.4063,0.1062,0.0525,12.677,0.025,1.544
3.8,0.22,0.4395,0.1021,0.0518,12.677,0.024,1.481
4.2,0.25,0.4702,0.0977,0.0510,12.677,0.024,1.419
4.5,0.27,0.4982,0.0932,0.0501,12.677,0.024,1.352
4.9,0.29,0.5235,0.0886,0.0491,11.931,0.023,1.286
5.3,0.31,0.5457,0.0838,0.0479,11.931,0.022,1.214
5.7,0.33,0.5648,0.0788,0.0467,11.185,0.022,1.143
6.0,0.36,0.5804,0.0737,0.0453,11.185,0.021,1.072
6.4,0.38,0.5922,0.0685,0.0439,10.440,0.021,0.992
6.8,0.40,0.5997,0.0631,0.0423,10.440,0.020,0.916
7.2,0.42,0.6025,0.0577,0.0406,9.694,0.019,0.836
7.6,0.45,0.5998,0.0521,0.0388,9.694,0.018,0.756
7.9,0.47,0.5908,0.0465,0.0369,8.948,0.017,0.676
8.3,0.49,0.5741,0.0408,0.0349,8.203,0.016,0.592
8.7,0.51,0.5483,0.0350,0.0327,8.203,0.015,0.507
9.1,0.54,0.5112,0.0291,0.0305,7.457,0.014,0.423
9.4,0.56,0.4600,0.0233,0.0282,6.711,0.013,0.338
9.8,0.58,0.3907,0.0174,0.0258,5.966,0.012,0.254
10.2,0.60,0.2978,0.0115,0.0233,5.966,0.011,0.169
10.6,0.62,0.1728,0.0057,0.0208,5.220,0.010,0.085
11.0,0.65,0.0012,0.0000,0.0182,4.474,0.008,0.000
