# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1500,0.1007,0.000,0.002,0.089
0.1,0.04,0.0574,0.1493,0.1023,0.000,0.002,0.085
0.3,0.08,0.1123,0.1484,0.1039,0.000,0.002,0.085
0.4,0.12,0.1647,0.1475,0.1057,0.000,0.002,0.085
0.5,0.16,0.2143,0.1464,0.1075,0.000,0.002,0.085
0.7,0.20,0.2611,0.1451,0.1093,0.000,0.002,0.085
0.8,0.24,0.3051,0.1437,0.1111,0.000,0.002,0.085
0.9,0.28,0.3464,0.1420,0.1129,0.000,0.002,0.085
1.1,0.31,0.3849,0.1400,0.1144,0.000,0.002,0.080
1.2,0.35,0.4208,0.1377,0.1158,0.000,0.002,0.080
1.3,0.39,0.4542,0.1350,0.1169,0.000,0.002,0.080
1.5,0.43,0.4851,0.1318,0.1176,0.000,0.002,0.076
1.6,0.47,0.5136,0.1282,0.1179,0.000,0.002,0.076
1.7,0.51,0.5398,0.1241,0.1176,0.000,0.002,0.071
1.9,0.55,0.5638,0.1195,0.1167,0.000,0.002,0.071
2.0,0.59,0.5854,0.1144,0.1153,0.000,0.002,0.067
2.1,0.63,0.6045,0.1086,0.1131,0.000,0.002,0.062
2.3,0.67,0.6209,0.1024,0.1103,0.000,0.002,0.058
2.4,0.71,0.6339,0.0956,0.1068,0.000,0.002,0.053
2.5,0.75,0.6430,0.0883,0.1027,0.000,0.002,0.053
2.7,0.79,0.6474,0.0806,0.0980,0.000,0.002,0.049
2.8,0.83,0.6459,0.0725,0.0927,0.000,0.002,0.040
2.9,0.87,0.6370,0.0641,0.0871,0.000,0.002,0.036
3.1,0.90,0.6189,0.0555,0.0811,0.000,0.001,0.031
3.2,0.94,0.5888,0.0466,0.0747,0.000,0.001,0.027
3.3,0.98,0.5432,0.0376,0.0681,0.000,0.001,0.022
3.5,1.02,0.4764,0.0285,0.0613,0.000,0.001,0.018
3.6,1.06,0.3802,0.0194,0.0542,0.000,0.001,0.013
3.7,1.10,0.2411,0.0103,0.0470,0.000,0.001,0.004
3.9,1.14,0.0362,0.0013,0.0397,0.000,0.001,0.000
