# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1530,0.0807,435.489,0.297,17.406
1.9,0.04,0.0747,0.1524,0.0825,445.183,0.304,17.344
3.8,0.08,0.1453,0.1518,0.0845,455.623,0.311,17.272
5.7,0.12,0.2116,0.1510,0.0865,466.808,0.319,17.188
7.7,0.16,0.2736,0.1502,0.0887,478.739,0.327,17.090
9.6,0.20,0.3312,0.1491,0.0910,490.671,0.335,16.970
11.5,0.24,0.3844,0.1479,0.0933,503.347,0.343,16.828
13.4,0.28,0.4335,0.1463,0.0955,515.279,0.351,16.654
15.3,0.32,0.4785,0.1445,0.0976,526.464,0.359,16.441
17.2,0.36,0.5198,0.1423,0.0996,536.904,0.366,16.187
19.2,0.40,0.5576,0.1396,0.1012,545.852,0.372,15.885
21.1,0.44,0.5922,0.1364,0.1024,552.564,0.377,15.529
23.0,0.49,0.6240,0.1327,0.1032,557.038,0.380,15.106
24.9,0.53,0.6533,0.1285,0.1033,557.784,0.380,14.621
26.8,0.57,0.6802,0.1236,0.1028,554.801,0.378,14.065
28.7,0.61,0.7050,0.1181,0.1015,548.089,0.374,13.434
30.7,0.65,0.7277,0.1119,0.0995,536.904,0.366,12.735
32.6,0.69,0.7483,0.1052,0.0966,521.244,0.355,11.970
34.5,0.73,0.7667,0.0978,0.0929,501.110,0.342,11.134
36.4,0.77,0.7826,0.0900,0.0883,476.502,0.325,10.240
38.3,0.81,0.7956,0.0817,0.0830,447.420,0.305,9.292
40.2,0.85,0.8051,0.0730,0.0770,415.355,0.283,8.314
42.2,0.89,0.8102,0.0641,0.0704,379.561,0.259,7.300
44.1,0.93,0.8092,0.0551,0.0633,341.531,0.233,6.268
46.0,0.97,0.7996,0.0459,0.0556,300.517,0.205,5.218
47.9,1.01,0.7771,0.0366,0.0475,256.521,0.175,4.159
49.8,1.05,0.7332,0.0273,0.0391,211.033,0.144,3.100
51.7,1.09,0.6490,0.0180,0.0303,163.308,0.111,2.051
53.7,1.13,0.4731,0.0089,0.0212,114.838,0.078,1.010
55.6,1.17,-0.0034,0.0000,0.0121,64.876,0.044,-0.004
