# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1507,0.0921,1.491,0.007,0.351
0.3,0.04,0.0637,0.1500,0.0938,1.491,0.007,0.347
0.5,0.08,0.1244,0.1492,0.0955,1.491,0.007,0.347
0.8,0.12,0.1818,0.1483,0.0974,1.491,0.007,0.343
1.1,0.16,0.2360,0.1472,0.0993,1.491,0.007,0.343
1.4,0.20,0.2869,0.1460,0.1013,1.491,0.008,0.338
1.6,0.24,0.3344,0.1445,0.1032,1.491,0.008,0.334
1.9,0.28,0.3787,0.1428,0.1051,1.491,0.008,0.334
2.2,0.32,0.4197,0.1408,0.1069,1.491,0.008,0.329
2.4,0.36,0.4577,0.1385,0.1084,1.491,0.008,0.320
2.7,0.40,0.4928,0.1357,0.1096,1.491,0.008,0.316
3.0,0.44,0.5252,0.1325,0.1105,1.491,0.008,0.307
3.2,0.48,0.5550,0.1288,0.1109,1.491,0.008,0.298
3.5,0.52,0.5824,0.1246,0.1107,1.491,0.008,0.289
3.8,0.56,0.6074,0.1198,0.1100,1.491,0.008,0.280
4.0,0.60,0.6301,0.1145,0.1086,1.491,0.008,0.267
4.3,0.64,0.6503,0.1086,0.1064,1.491,0.008,0.254
4.6,0.68,0.6678,0.1022,0.1036,1.491,0.008,0.236
4.9,0.72,0.6823,0.0952,0.1000,1.491,0.008,0.222
5.1,0.76,0.6931,0.0878,0.0958,1.491,0.007,0.205
5.4,0.80,0.6995,0.0798,0.0909,1.491,0.007,0.187
5.7,0.84,0.7004,0.0716,0.0855,1.491,0.006,0.165
5.9,0.88,0.6945,0.0631,0.0796,1.491,0.006,0.147
6.2,0.92,0.6796,0.0543,0.0732,1.491,0.006,0.125
6.5,0.96,0.6528,0.0454,0.0665,0.746,0.005,0.107
6.7,1.00,0.6097,0.0364,0.0595,0.746,0.005,0.085
7.0,1.04,0.5432,0.0274,0.0521,0.746,0.004,0.062
7.3,1.08,0.4410,0.0183,0.0446,0.746,0.003,0.044
7.6,1.11,0.2808,0.0093,0.0368,0.746,0.003,0.022
7.8,1.15,0.0157,0.0004,0.0289,0.746,0.002,0.000
