# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1409,0.0672,16.405,0.032,2.046
0.5,0.03,0.0635,0.1394,0.0683,17.151,0.032,2.024
1.1,0.06,0.1236,0.1377,0.0693,17.151,0.033,2.002
1.6,0.09,0.1803,0.1359,0.0703,17.151,0.033,1.971
2.1,0.12,0.2337,0.1339,0.0713,17.151,0.033,1.944
2.6,0.16,0.2838,0.1316,0.0721,17.897,0.034,1.908
3.2,0.19,0.3308,0.1291,0.0728,17.897,0.034,1.873
3.7,0.22,0.3748,0.1263,0.0734,17.897,0.034,1.833
4.2,0.25,0.4158,0.1233,0.0738,17.897,0.035,1.788
4.7,0.28,0.4542,0.1199,0.0739,17.897,0.035,1.739
5.3,0.31,0.4898,0.1163,0.0738,17.897,0.035,1.690
5.8,0.34,0.5229,0.1124,0.0735,17.897,0.034,1.632
6.3,0.37,0.5535,0.1081,0.0729,17.897,0.034,1.570
6.8,0.40,0.5816,0.1035,0.0719,17.897,0.034,1.503
7.4,0.44,0.6072,0.0986,0.0707,17.151,0.033,1.432
7.9,0.47,0.6302,0.0934,0.0691,17.151,0.032,1.357
8.4,0.50,0.6504,0.0878,0.0672,16.405,0.032,1.277
9.0,0.53,0.6676,0.0820,0.0650,15.660,0.031,1.192
9.5,0.56,0.6815,0.0759,0.0623,15.660,0.029,1.103
10.0,0.59,0.6915,0.0695,0.0594,14.914,0.028,1.010
10.5,0.62,0.6970,0.0629,0.0562,14.168,0.026,0.912
11.1,0.65,0.6970,0.0562,0.0527,12.677,0.025,0.814
11.6,0.68,0.6903,0.0493,0.0489,11.931,0.023,0.716
12.1,0.72,0.6749,0.0423,0.0449,11.185,0.021,0.614
12.6,0.75,0.6480,0.0353,0.0406,9.694,0.019,0.512
13.2,0.78,0.6053,0.0282,0.0362,8.948,0.017,0.409
13.7,0.81,0.5396,0.0210,0.0315,7.457,0.015,0.307
14.2,0.84,0.4383,0.0140,0.0267,6.711,0.013,0.205
14.7,0.87,0.2772,0.0069,0.0218,5.220,0.010,0.102
15.3,0.90,0.0029,0.0001,0.0168,4.474,0.008,0.000
